fips,pm25
13159,8.5
13161,8.5
13163,9.4
13165,9.0
13167,9.0
13169,8.6
13171,8.5
13173,8.1
13175,9.3
13177,9.4
13179,8.8
13181,8.5
13183,8.5
13185,8.3
13187,
13189,9.2
13191,8.1
13193,9.0
13195,8.8
13197,8.5
13199,8.2
13201,9.3
13205,9.6
13207,8.7
13209,8.9
13211,8.8
13213,8.1
13215,8.4
13217,9.1
13219,8.8
13221,8.3
13223,9.2
13225,9.2
13227,7.9
13229,8.3
13231,8.4
13233,8.6
13235,9.0
13237,8.5
13239,8.4
13241,6.6
13243,8.7
13245,10.7
13247,9.3
13249,8.7
13251,8.8
13253,9.0
13255,8.7
13257,7.7
13259,8.4
13261,9.2
13263,8.4
13265,8.3
13267,8.9
13269,8.6
13271,8.8
13273,9.1
13275,9.6
13277,9.3
13279,8.9
13281,6.4
13283,8.9
13285,8.7
13287,9.0
13289,8.8
13291,6.7
13293,8.5
13295,8.5
13297,9.3
13299,8.4
13301,8.9
13303,8.7
13305,8.5
13307,8.6
13309,8.8
13311,7.0
13313,8.6
13315,9.1
13317,8.4
13319,8.8
13321,9.5
15001,3.5
15003,3.9
15005,
15007,3.3
15009,3.9
16001,7.8
16003,8.2
16005,6.7
16007,5.5
16009,10.5
16011,6.7
16013,
16015,
16017,12.7
16019,6.6
16021,9.5
16023,5.2
16025,5.3
16027,10.5
16029,5.7
16031,7.2
16033,4.9
16035,7.9
16037,4.9
16039,7.4
16041,6.4
16043,4.9
16045,9.9
16047,
16049,9.0
16051,6.4
16053,7.2
16055,13.0
16057,10.8
16059,10.8
16061,9.4
16063,6.2
16065,5.9
16067,7.1
16069,10.8
16071,6.2
16073,9.0
16075,10.2
16077,6.4
16079,11.1
16081,
16083,7.2
16085,7.0
16087,9.4
17001,8.1
17003,8.8
17005,8.6
17007,9.2
17009,7.7
17011,9.1
17013,8.2
17015,9.1
17017,8.0
17019,7.6
17021,8.6
17023,8.6
17025,8.6
17027,8.9
17029,8.6
17031,10.8
17033,8.7
17035,8.6
17037,9.6
17039,8.6
17041,8.4
17043,9.2
17045,8.5
17047,8.6
17049,8.8
17051,8.7
17053,8.7
17055,9.1
17057,8.5
17059,8.5
17061,7.8
17063,9.4
17065,8.8
17067,8.3
17069,8.3
17071,8.3
17073,8.9
17075,8.9
17077,9.0
17079,8.6
17081,9.0
17083,7.5
17085,9.1
17087,8.7
17089,8.8
17091,9.3
17093,9.5
17095,8.6
17097,9.1
17099,9.6
17101,8.6
17103,9.3
17105,9.0
17107,8.5
17109,8.3
17111,8.2
17113,8.9
17115,8.6
17117,8.6
17119,10.9
17121,8.9
17123,8.9
17125,8.3
17127,8.7
17129,8.1
17131,8.5
17133,8.4
17135,8.5
17137,8.0
17139,8.6
17141,9.4
17143,8.2
17145,8.8
17147,8.5
17149,7.9
17151,8.6
17153,8.6
17155,8.9
17157,8.3
17159,8.6
17161,8.1
17163,9.5
17165,8.8
17167,7.6
17169,7.9
17171,7.7
17173,8.7
17175,8.6
17177,9.2
17179,9.0
17181,8.8
17183,8.8
17185,8.5
17187,8.4
17189,8.8
17191,8.8
17193,8.7
17195,9.1
17197,9.8
17199,9.0
17201,9.1
17203,9.0
18001,8.1
18003,8.4
18005,6.7
18007,8.7
18009,8.0
18011,9.7
18013,8.3
18015,8.8
18017,8.5
18019,9.8
18021,8.6
18023,8.9
18025,8.6
18027,8.7
18029,9.2
18031,8.4
18033,8.2
18035,8.0
18037,8.4
18039,8.2
18041,8.4
18043,9.6
18045,8.8
18047,8.8
18049,8.4
18051,8.6
18053,8.2
18055,7.5
18057,9.4
18059,9.0
18061,9.1
18063,9.9
18065,7.3
18067,6.7
18069,8.3
18071,8.4
18073,8.9
18075,8.1
18077,8.6
18079,8.4
18081,9.6
18083,8.7
18085,8.6
18087,8.3
18089,9.8
18091,8.1
18093,8.3
18095,8.3
18097,11.1
18099,8.7
18101,8.4
18103,8.2
18105,7.7
18107,9.0
18109,9.5
18111,8.8
18113,8.5
18115,8.8
18117,8.5
18119,8.5
18121,8.5
18123,8.7
18125,8.6
18127,7.5
18129,8.7
18131,8.5
18133,8.9
18135,8.2
18137,8.6
18139,8.4
18141,9.6
18143,8.6
18145,8.9
18147,8.0
18149,8.5
18151,8.1
18153,8.5
18155,8.7
18157,9.4
18159,8.3
18161,8.5
18163,9.1
18165,8.7
18167,8.6
18169,8.3
18171,8.4
18173,8.7
18175,8.6
18177,8.5
18179,8.2
18181,9.0
18183,9.8
19001,7.0
19003,7.0
19005,7.8
19007,7.4
19009,7.0
19011,8.4
19013,7.9
19015,7.5
19017,7.8
19019,8.3
19021,7.1
19023,7.5
19025,7.2
19027,7.2
19029,7.1
19031,8.9
19033,7.1
19035,7.0
19037,7.4
19039,7.1
19041,6.8
19043,8.3
19045,8.5
19047,7.1
19049,7.6
19051,7.5
19053,7.1
19055,8.6
19057,8.4
19059,6.6
19061,9.0
19063,6.7
19065,8.0
19067,7.2
19069,7.2
19071,7.4
19073,7.2
19075,7.7
19077,7.1
19079,7.4
19081,6.9
19083,7.5
19085,7.3
19087,8.3
19089,7.1
19091,7.0
19093,7.0
19095,8.4
19097,8.9
19099,7.7
19101,8.0
19103,9.5
19105,8.8
19107,8.1
19109,6.9
19111,7.8
19113,9.6
19115,8.4
19117,7.2
19119,6.6
19121,7.1
19123,7.8
19125,7.6
19127,7.7
19129,7.5
19131,6.9
19133,7.1
19135,7.5
19137,6.7
19139,8.0
19141,6.8
19143,6.5
19145,7.4
19147,7.1
19149,7.1
19151,7.0
19153,8.0
19155,8.3
19157,7.9
19159,7.1
19161,7.2
19163,9.2
19165,7.1
19167,6.9
19169,7.7
19171,7.8
19173,7.2
19175,7.2
19177,6.8
19179,7.8
19181,7.5
19183,8.5
19185,7.2
19187,7.3
19189,6.7
19191,7.6
19193,7.6
19195,6.7
19197,7.2
20001,8.5
20003,8.2
20005,8.3
20007,7.4
20009,6.8
20011,8.1
20013,7.9
20015,8.5
20017,8.0
20019,8.5
20021,9.3
20023,5.8
20025,6.6
20027,7.2
20029,6.9
20031,8.5
20033,6.9
20035,9.0
20037,8.7
20039,
20041,7.8
20043,8.0
20045,8.9
20047,6.6
20049,8.4
20051,6.3
20053,6.9
20055,6.7
20057,6.7
20059,8.3
20061,8.0
20063,
20065,
20067,6.6
20069,6.7
20071,6.0
20073,8.5
20075,6.1
20077,8.1
20079,7.8
20081,6.7
20083,6.3
20085,8.3
20087,8.7
20089,
20091,8.2
20093,6.4
20095,7.7
20097,6.7
20099,9.1
20101,6.1
20103,8.9
20105,6.6
20107,7.6
20109,6.0
20111,8.6
20113,7.6
20115,7.9
20117,7.7
20119,6.6
20121,8.1
20123,6.6
20125,9.1
20127,8.1
20129,5.9
20131,7.9
20133,8.7
20135,
20137,5.9
20139,8.8
20141,6.2
20143,7.1
20145,6.5
20147,6.1
20149,8.5
20151,7.0
20153,5.8
20155,7.7
20157,6.7
20159,7.0
20161,8.3
20163,6.1
20165,
20167,6.5
20169,7.5
20171,6.3
20173,6.7
20175,6.7
20177,9.6
20179,
20181,6.0
20183,6.1
20185,6.9
20187,6.0
20189,6.4
20191,8.9
20193,5.9
20195,5.5
20197,8.5
20199,5.9
20201,7.1
20203,6.2
20205,8.9
20207,8.5
20209,11.0
21001,7.8
21003,8.0
21005,8.3
21007,8.5
21009,8.1
21011,7.8
21013,7.4
21015,9.4
21017,8.3
21019,7.5
21021,8.1
21023,8.1
21025,7.3
21027,8.5
21029,9.4
21031,8.3
21033,8.1
21035,7.8
21037,7.9
21039,8.3
21041,8.5
21043,5.6
21045,7.9
21047,8.5
21049,8.3
21051,7.3
21053,7.1
21055,8.4
21057,7.3
21059,7.9
21061,8.1
21063,7.1
21065,7.5
21067,7.9
21069,7.8
21071,7.3
21073,8.3
21075,7.7
21077,8.5
21079,7.9
21081,8.0
21083,8.3
21085,8.3
21087,8.0
21089,7.9
21091,8.5
21093,7.4
21095,7.0
21097,8.2
21099,8.1
21101,8.7
21103,8.6
21105,7.8
21107,8.4
21109,7.5
21111,9.8
21113,8.4
21115,7.3
21117,9.6
21119,7.1
21121,7.4
21123,8.2
21125,7.7
21127,7.3
21129,7.4
21131,6.9
21133,6.8
21135,7.6
21137,8.0
21139,8.4
21141,8.2
21143,8.0
21145,8.8
21147,7.2
21149,8.4
21151,8.2
21153,7.2
21155,8.1
21157,8.4
21159,7.1
21161,7.9
21163,8.9
21165,7.4
21167,8.3
21169,7.8
21171,7.5
21173,8.0
21175,7.3
21177,8.3
21179,8.5
21181,7.9
21183,8.4
21185,9.2
21187,8.3
21189,7.3
21191,8.1
21193,7.3
21195,6.6
21197,
21199,7.3
21201,7.8
21203,7.7
21205,7.4
21207,7.7
21209,8.5
21211,8.7
21213,8.1
21215,8.8
21217,7.9
21219,8.1
21221,7.8
21223,8.6
21225,8.5
21227,8.3
21229,8.2
21231,7.1
21233,8.4
21235,7.6
21237,7.3
21239,8.5
22001,8.3
22003,7.9
22005,8.7
22007,8.2
22009,7.9
22011,8.3
22013,8.6
22015,9.5
22017,9.6
22019,7.5
22021,7.9
22023,7.8
22025,7.7
22027,8.4
22029,7.7
22031,8.8
22033,8.3
22035,8.3
22037,8.1
22039,8.0
22041,8.1
22043,8.0
22045,8.3
22047,7.5
22049,8.3
22051,8.1
22053,8.2
22055,8.2
22057,8.5
22059,7.7
22061,8.5
22063,8.7
22065,8.3
22067,8.5
22069,8.4
22071,7.9
22073,7.3
22075,8.3
22077,7.9
22079,7.3
22081,8.5
22083,8.3
22085,8.4
22087,7.9
22089,8.6
22091,7.8
22093,8.5
22095,8.6
22097,8.3
22099,8.5
22101,8.0
22103,9.0
22105,7.5
22107,8.0
22109,7.4
22111,8.5
22113,8.3
22115,8.1
22117,8.8
22119,8.8
22121,8.6
22123,8.3
22125,
22127,7.9
23001,5.1
23003,5.7
23005,7.6
23007,5.4
23009,2.8
23011,6.0
23013,5.1
23015,5.8
23017,5.1
23019,4.6
23021,4.7
23023,6.3
23025,5.5
23027,5.1
23029,4.3
23031,6.9
24001,6.3
24003,7.1
24005,7.5
24009,6.2
24011,6.5
24013,7.9
24015,5.6
24017,7.1
24019,4.4
24021,7.7
24023,4.6
24025,5.8
24027,7.0
24029,4.6
24031,5.9
24033,5.9
24035,6.3
24037,6.3
24039,6.3
24041,6.0
24043,6.6
24045,6.7
24047,6.8
24510,6.5
25001,5.9
25003,7.8
25005,6.3
25007,5.5
25009,5.6
25011,8.4
25013,8.6
25015,6.8
25017,6.7
25019,5.3
25021,5.3
25023,7.6
25025,8.5
25027,8.1
26001,6.0
26003,5.3
26005,6.0
26007,6.1
26009,6.6
26011,6.1
26013,4.8
26015,7.7
26017,4.7
26019,6.6
26021,8.8
26023,8.0
26025,8.0
26027,8.7
26029,6.5
26031,6.1
26033,5.8
26035,6.9
26037,7.5
26039,6.7
26041,6.3
26043,5.9
26045,7.8
26047,6.3
26049,6.1
26051,6.5
26053,5.3
26055,6.9
26057,6.9
26059,8.0
26061,4.9
26063,6.3
26065,7.0
26067,7.5
26069,6.1
26071,5.4
26073,6.8
26075,8.2
26077,7.7
26079,6.8
26081,7.8
26083,4.4
26085,6.5
26087,7.4
26089,6.3
26091,8.2
26093,8.6
26095,5.1
26097,5.7
26099,6.0
26101,5.1
26103,5.6
26105,6.7
26107,6.9
26109,6.8
26111,6.5
26113,7.9
26115,9.1
26117,7.3
26119,6.0
26121,7.3
26123,7.1
26125,7.5
26127,6.8
26129,6.2
26131,4.9
26133,6.8
26135,6.1
26137,6.4
26139,7.4
26141,5.9
26143,6.9
26145,6.6
26147,6.8
26149,8.4
26151,6.9
26153,4.8
26155,7.3
26157,6.4
26159,8.0
26161,8.3
26163,10.7
26165,6.8
27001,4.6
27003,6.2
27005,4.2
27007,5.7
27009,6.1
27011,5.9
27013,6.8
27015,6.4
27017,1.3
27019,7.0
27021,4.4
27023,5.8
27025,6.5
27027,6.4
27029,5.5
27031,2.6
27033,6.2
27035,4.2
27037,7.6
27039,6.8
27041,5.7
27043,6.7
27045,7.4
27047,6.7
27049,7.5
27051,5.6
27053,8.7
27055,7.9
27057,5.1
27059,6.4
27061,4.8
27063,6.5
27065,5.4
27067,5.9
27069,6.2
27071,5.0
27073,5.8
27075,5.3
27077,5.1
27079,6.8
27081,5.5
27083,5.3
27085,6.2
27087,5.3
27089,6.3
27091,6.6
27093,5.9
27095,6.0
27097,5.6
27099,6.8
27101,6.0
27103,6.7
27105,6.4
27107,5.9
27109,5.6
27111,5.8
27113,6.0
27115,5.4
27117,5.9
27119,6.6
27121,5.7
27123,7.9
27125,5.8
27127,6.1
27129,6.1
27131,7.2
27133,6.3
27135,6.0
27137,7.3
27139,5.8
27141,6.7
27143,6.3
27145,5.8
27147,6.7
27149,5.7
27151,5.8
27153,5.6
27155,5.8
27157,7.3
27159,5.1
27161,6.7
27163,7.8
27165,6.3
27167,5.7
27169,7.7
27171,6.2
27173,5.9
28001,7.7
28003,7.5
28005,7.9
28007,8.9
28009,7.8
28011,8.6
28013,8.4
28015,8.3
28017,8.5
28019,8.6
28021,8.1
28023,8.8
28025,9.0
28027,8.7
28029,9.0
28031,9.5
28033,8.2
28035,9.7
28037,7.5
28039,9.1
28041,
28043,8.4
28045,8.4
28047,9.6
28049,10.2
28051,8.8
28053,8.8
28055,8.3
28057,8.0
28059,8.7
28061,9.1
28063,7.6
28065,9.2
28067,9.8
28069,8.8
28071,8.4
28073,9.0
28075,9.2
28077,8.8
28079,9.2
28081,8.6
28083,8.8
28085,8.6
28087,9.1
28089,10.2
28091,9.1
28093,8.0
28095,8.7
28097,8.4
28099,9.5
28101,9.3
28103,8.8
28105,8.8
28107,8.3
28109,9.0
28111,9.2
28113,8.4
28115,8.6
28117,7.8
28119,8.6
28121,10.1
28123,9.4
28125,8.5
28127,9.2
28129,9.1
28131,8.9
28133,9.0
28135,8.6
28137,8.6
28139,7.7
28141,6.9
28143,8.5
28145,8.3
28147,8.4
28149,8.7
28151,8.9
28153,8.7
28155,8.4
28157,7.3
28159,8.9
28161,8.3
28163,9.0
29001,7.4
29003,7.8
29005,7.5
29007,7.8
29009,8.3
29011,8.1
29013,7.4
29015,7.1
29017,8.2
29019,7.9
29021,8.2
29023,8.1
29025,7.0
29027,7.7
29029,7.3
29031,9.0
29033,7.1
29035,7.1
29037,6.2
29039,6.5
29041,7.3
29043,8.3
29045,7.9
29047,6.2
29049,7.7
29051,7.7
29053,7.3
29055,7.2
29057,7.7
29059,7.2
29061,7.3
29063,7.4
29065,6.9
29067,7.4
29069,8.4
29071,8.4
29073,7.5
29075,7.4
29077,7.5
29079,7.2
29081,7.2
29083,7.1
29085,7.0
29087,7.7
29089,7.3
29091,7.5
29093,7.2
29095,10.1
29097,9.1
29099,7.6
29101,7.2
29103,7.4
29105,7.2
29107,7.4
29109,8.3
29111,7.9
29113,7.8
29115,7.3
29117,7.2
29119,9.0
29121,7.4
29123,7.5
29125,7.2
29127,7.9
29129,7.1
29131,7.3
29133,8.5
29135,7.5
29137,7.6
29139,7.7
29141,7.3
29143,8.3
29145,9.2
29147,7.5
29149,7.4
29151,7.4
29153,7.2
29155,7.7
29157,8.6
29159,7.2
29161,7.2
29163,7.9
29165,9.0
29167,
29169,7.3
29171,7.2
29173,7.8
29175,7.4
29177,7.3
29179,6.9
29181,7.7
29183,9.4
29185,7.0
29186,8.3
29187,7.7
29189,7.7
29195,7.2
29197,7.4
29199,7.5
29201,8.9
29203,6.9
29205,7.5
29207,8.5
29209,
29211,7.3
29213,8.1
29215,
29217,7.7
29219,8.0
29221,7.3
29223,7.5
29225,7.6
29227,7.1
29229,7.3
29510,10.3
30001,5.3
30003,6.6
30005,6.0
30007,5.2
30009,5.7
30011,5.5
30013,5.9
30015,5.6
30017,5.8
30019,5.3
30021,4.8
30023,5.5
30025,4.9
30027,4.7
30029,6.9
30031,2.3
30033,5.2
30035,6.4
30037,5.0
30039,
30041,5.8
30043,5.9
30045,4.6
30047,8.5
30049,7.6
30051,5.4
30053,13.8
30055,4.9
30057,5.2
30059,4.5
30061,8.4
30063,8.7
30065,5.7
30067,5.1
30069,5.3
30071,6.3
30073,5.8
30075,7.6
30077,5.8
30079,5.0
30081,5.8
30083,4.3
30085,5.3
30087,5.9
30089,8.9
30091,5.3
30093,6.5
30095,5.6
30097,4.7
30099,5.7
30101,5.8
30103,6.0
30105,5.6
30107,4.7
30109,4.4
30111,7.1
31001,6.2
31003,6.0
31005,5.3
31007,5.5
31009,5.2
31011,6.0
31013,5.4
31015,5.4
31017,5.1
31019,6.2
31021,7.1
31023,6.8
31025,7.8
31027,6.3
31029,5.7
31031,4.9
31033,5.7
31035,6.3
31037,6.8
31039,7.0
31041,5.9
31043,7.0
31045,4.8
31047,6.1
31049,5.7
31051,6.6
31053,7.4
31055,7.3
31057,5.8
31059,6.5
31061,6.0
31063,5.8
31065,5.9
31067,7.3
31069,5.4
31071,5.5
31073,5.9
31075,5.1
31077,5.8
31079,5.6
31081,6.2
31083,5.9
31085,5.7
31087,5.8
31089,5.7
31091,5.1
31093,5.9
31095,6.9
31097,7.3
31099,6.0
31101,5.7
31103,5.0
31105,5.5
31107,6.1
31109,6.5
31111,5.9
31113,5.3
31115,5.4
31117,5.3
31119,6.5
31121,6.2
31123,5.6
31125,6.1
31127,7.4
31129,6.3
31131,7.6
31133,7.3
31135,5.7
31137,6.1
31139,6.2
31141,6.7
31143,6.4
31145,5.9
31147,7.7
31149,5.2
31151,7.0
31153,7.8
31155,7.6
31157,6.1
31159,6.9
31161,5.1
31163,5.7
31165,4.8
31167,6.6
31169,6.6
31171,5.2
31173,6.9
31175,5.7
31177,6.2
31179,6.5
31181,6.2
31183,5.7
31185,6.5
32001,9.6
32003,12.1
32005,9.5
32007,6.2
32009,7.8
32011,4.9
32013,6.6
32015,
32017,5.4
32019,10.4
32021,9.6
32023,7.4
32027,6.7
32029,9.6
32031,11.2
32033,4.9
32510,8.5
33001,4.1
33003,5.3
33005,6.4
33007,4.9
33009,4.4
33011,3.4
33013,5.7
33015,6.9
33017,6.3
33019,5.6
34001,6.9
34003,9.5
34005,8.3
34007,8.7
34009,7.3
34011,8.3
34013,8.8
34015,8.6
34017,8.3
34019,7.4
34021,7.2
34023,7.6
34025,7.9
34027,8.0
34029,6.5
34031,8.3
34033,8.3
34035,8.1
34037,7.5
34039,9.5
34041,7.2
35001,9.7
35003,
35005,6.3
35006,5.1
35007,4.9
35009,5.8
35011,5.1
35013,9.1
35015,7.0
35017,5.5
35019,4.9
35021,4.9
35023,5.2
35025,5.6
35027,5.1
35028,4.9
35029,5.6
35031,5.3
35033,
35035,5.8
35037,5.2
35039,5.4
35041,5.7
35043,7.6
35045,6.4
35047,4.9
35049,4.5
35051,5.3
35053,5.3
35055,5.9
35057,5.5
35059,4.9
35061,6.8
36001,8.7
36003,6.5
36005,8.3
36007,7.2
36009,6.8
36011,7.0
36013,5.3
36015,6.8
36017,6.7
36019,6.2
36021,7.8
36023,6.7
36025,6.5
36027,8.3
36029,6.8
36031,3.2
36033,6.5
36035,7.0
36037,7.2
36039,7.4
36041,5.7
36043,6.8
36045,6.5
36047,8.4
36049,6.0
36051,6.8
36053,6.8
36055,6.6
36057,7.3
36059,8.2
36061,8.7
36063,7.9
36065,7.0
36067,6.4
36069,6.9
36071,8.1
36073,7.1
36075,6.9
36077,6.5
36079,8.2
36081,7.4
36083,8.1
36085,7.7
36087,8.4
36089,6.9
36091,8.2
36093,8.0
36095,6.6
36097,6.6
36099,6.9
36101,5.7
36103,6.4
36105,6.9
36107,7.1
36109,6.8
36111,8.0
36113,7.3
36115,7.6
36117,7.1
36119,8.8
36121,6.8
36123,6.4
37001,7.4
37003,7.7
37005,6.4
37007,7.5
37009,5.9
37011,5.7
37013,5.9
37015,6.1
37017,6.2
37019,6.2
37021,5.1
37023,7.5
37025,8.5
37027,7.4
37029,6.0
37031,5.7
37033,7.3
37035,7.9
37037,7.5
37039,6.1
